cod_cnes,competencia,cod_proced,cod_cbo,qtd_apresentada,qtd_aprovada,val_apresentado,val_aprovado,situacao
4254694,2026-04-01,0409060089,225250,3,3,135.72,135.72,
4795997,2026-04-01,0101010010,223905,5,5,0.00,0.00,
4795997,2026-04-01,0101010010,251510,1,1,0.00,0.00,
4795997,2026-04-01,0211050113,225112,1,1,4.06,4.06,
4795997,2026-04-01,0301010048,223905,63,63,396.90,396.90,
4795997,2026-04-01,0301010048,251510,285,285,1795.50,1795.50,
4795997,2026-04-01,0301010048,251605,21,21,132.30,132.30,
4795997,2026-04-01,0301010064,225124,27,27,0.00,0.00,
4795997,2026-04-01,0301010072,225112,46,46,460.00,460.00,
4795997,2026-04-01,0301010072,225124,7,7,70.00,70.00,
4795997,2026-04-01,0301010137,225112,43,43,0.00,0.00,
4795997,2026-04-01,0301040036,251510,27,27,166.05,166.05,
4795997,2026-04-01,0301040079,251510,12,12,0.00,0.00,
4795997,2026-04-01,0301040079,251605,19,19,0.00,0.00,
4795997,2026-04-01,0301070113,223810,214,214,2332.60,2332.60,
4795997,2026-04-01,0302040013,223605,2,2,12.70,12.70,
4795997,2026-04-01,0302040021,223605,1,1,4.67,4.67,
4795997,2026-04-01,0302040048,223605,1,1,6.35,6.35,
4795997,2026-04-01,0302050019,223605,472,472,2997.20,2997.20,
4795997,2026-04-01,0302050027,223605,11,11,51.37,51.37,
4897013,2026-04-01,0301030197,223505,26,26,0.00,0.00,
4899938,2026-04-01,0301030197,223505,26,26,0.00,0.00,
5366828,2026-04-01,0202010120,223415,1,1,1.85,1.85,
5366828,2026-04-01,0202010180,221105,6,6,13.50,13.50,
5366828,2026-04-01,0202010180,223415,34,34,76.50,76.50,
5366828,2026-04-01,0202010180,225320,1,1,2.25,2.25,
5366828,2026-04-01,0202010201,221105,7,7,14.07,14.07,
5366828,2026-04-01,0202010201,223415,30,30,60.30,60.30,
5366828,2026-04-01,0202010201,225320,1,1,2.01,2.01,
5366828,2026-04-01,0202010210,221105,3,3,5.55,5.55,
5366828,2026-04-01,0202010210,223415,34,34,62.90,62.90,
5366828,2026-04-01,0202010260,221105,1,1,1.85,1.85,
5366828,2026-04-01,0202010260,223415,2,2,3.70,3.70,
5366828,2026-04-01,0202010317,221105,50,50,92.50,92.50,
5366828,2026-04-01,0202010317,223415,353,353,653.05,653.05,
5366828,2026-04-01,0202010317,225125,2,2,3.70,3.70,
5366828,2026-04-01,0202010317,225320,7,7,12.95,12.95,
5366828,2026-04-01,0202010325,221105,13,13,47.84,47.84,
5366828,2026-04-01,0202010325,223415,73,73,268.64,268.64,
5366828,2026-04-01,0202010325,225320,1,1,3.68,3.68,
5366828,2026-04-01,0202010333,221105,19,19,78.28,78.28,
5366828,2026-04-01,0202010333,223415,82,82,337.84,337.84,
5366828,2026-04-01,0202010333,225320,3,3,12.36,12.36,
5366828,2026-04-01,0202010368,221105,1,1,3.68,3.68,
5366828,2026-04-01,0202010368,223415,3,3,11.04,11.04,
5366828,2026-04-01,0202010422,221105,3,3,6.03,6.03,
5366828,2026-04-01,0202010422,223415,18,18,36.18,36.18,
5366828,2026-04-01,0202010465,221105,4,4,14.04,14.04,
5366828,2026-04-01,0202010465,223415,25,25,87.75,87.75,
5366828,2026-04-01,0202010465,225320,1,1,3.51,3.51,
5366828,2026-04-01,0202010473,221105,3,3,5.55,5.55,
5366828,2026-04-01,0202010473,223415,8,8,14.80,14.80,
5366828,2026-04-01,0202010538,221105,1,1,3.68,3.68,
5366828,2026-04-01,0202010538,223415,6,6,22.08,22.08,
5366828,2026-04-01,0202010562,221105,4,4,8.04,8.04,
5366828,2026-04-01,0202010562,223415,40,40,80.40,80.40,
5366828,2026-04-01,0202010619,221105,1,1,1.40,1.40,
5366828,2026-04-01,0202010619,223415,1,1,1.40,1.40,
5366828,2026-04-01,0202010627,221105,1,1,1.85,1.85,
5366828,2026-04-01,0202010635,221105,56,56,103.60,103.60,
5366828,2026-04-01,0202010635,223415,460,460,851.00,851.00,
5366828,2026-04-01,0202010635,225320,4,4,7.40,7.40,
